Category,Number,Sentence,Practice
ENVIRONMENT,41,What act of care would you like to offer the earth?,"Decide one small, practical action that you are going to do today. For example, picking up trash, watering plants, feeding homeless animals, recycling… Can you repeat this action day by day?"
ENVIRONMENT,42,Have you ever felt the sound of silence? Have you ever experienced stillness? Can you create these two conditions consciously? Can they become part of your daily habits?,Sit in silence for 5 minutes before writing. Nothing more.
ENVIRONMENT,43,What kind of ritual could help you feel connected to nature?,"Put it in practice, from now on anytime you can."
ENVIRONMENT,44,"Sometimes psychedelic and plant medicine experiences may create a feeling of connectivity that is expanded in comparison to what you usually feel. Can you recall a similar experience, pointing out the intense body sensations?","Spread your arms wide, then imagine people, situations, places, experiences, emotions, mothers, concepts… they are coming to you and you are waiting for their hugs. You hug them, then yourself."
ENVIRONMENT,45,"How could you experience, beyond your expectations, support from the natural world right now?",Go into nature and drop the search for meaning. Just observe what is actually happening — inside and outside. What remains when you stop trying to feel something special?
ENVIRONMENT,46,What could restore your spirit or energy?,"Look at your surroundings right now and find one element nearby that you consider pleasant. Observe it as if seeing it for the first time. If there is nothing pleasant, how can you make it beautiful?"
ENVIRONMENT,47,Is there any symbolic image from the ceremony that you can say still guides you? How do you feel its guidance?,Sketch it before journaling.
ENVIRONMENT,48,What vision for your life feels aligned with the greater web of existence? How do you participate in the human experience on earth?,Connect with an action that feels like your guiding thread.
SPIRIT,49,"“When I let go of what I am, I become what I might be.” (Laozi) — What are you ready to release?","Practice: Breathe focusing on your exhalation: Exhale deeply, longer than usual, try to exhale even more… exhalation after exhalation. Imagine releasing with your breath what you feel you don't need anymore."
SPIRIT,50,“The wound is the place where the Light enters you.” (Rumi) — Which wound is now becoming a doorway?,Place your hand on that part of your body and breathe light in.
SPIRIT,51,“He who has a why to live can bear almost any how.” (Nietzsche) — What is your ‘why’ right now?,Write five sentences that begin with “My why is…”
SPIRIT,52,“Our hearts are restless until they rest in You.” (St. Augustine) — Where do you find true rest?,"Lay down if you can, or sit back, and close your eyes. Relax your body, scanning it part by part. Observe your body without judging. Then sigh 5 times deeply."
SPIRIT,53,“Silence is the language of God.” (Rumi) — What is your relationship with silence? What does it transmit you?,"Sit in silence for 5 minutes before writing, listen to what you notice, it can be a sound, movement, vibration, sensation."
SPIRIT,54,"“Nature does not hurry, yet everything is accomplished.” (Laozi) — Where in your life can you move slower?","When you think you have finished your writing, take 5 minutes more."
SPIRIT,55,"“One must still have chaos in oneself to give birth to a dancing star.” (Nietzsche) — What star is being born in your chaos? It may not be so evident, that's why it may be necessary to use some imagination or to describe any chaotic situation and every eventual outcome.",Draw a sky of tiny stars next to your writing.
SPIRIT,56,"“The soul is healed by being with children.” (Dostoevsky) — How is your relationship with childhood? Describe a meeting you had with a child, recently or one that you remember. How can innocence or play restore you?",Write with your non-dominant hand for 1 page.
SPIRIT,57,"“God is at home, it is we who have gone out for a walk.” (Meister Eckhart) — What's your representation of Home? Where do you feel most at home?","Close your eyes and imagine that place in you. How would you manage it—clean it, tidy it up, furnish it—to welcome yourself."
SPIRIT,58,“Stop acting so small. You are the universe in ecstatic motion.” (Rumi) — In what ways can you expand today? Where are your limits?,"Stand up and find a way to appear bigger. Stretch your arms wide, your legs wide. Expand the thorax with your breath."
SPIRIT,59,“The Tao is like water; it nourishes all things without striving.” (Laozi) — Can you feel the water in you? How can you embody water in your life?,"Drink a glass of water. Sense every sip and imagine that it is the source of a river in your body. Feel its movement from your lips to the mouth, to the throat and stomach. Follow its flow."
SPIRIT,60,“Faith is to believe what you do not see; the reward is to see what you believe.” (St. Augustine) — What unseen truth are you trusting? What lies are you trusting? How can you discern one from the other?,Connect with your meaning of truth. What practical ways can you embody this truth?
MENTAL / PSYCHISM,61,Describe your childhood as if you were telling it to a friend who doesn’t know you.,"Close your eyes for some minutes, go deep in the body, and connect with your breath. Allow it to be and visualize three important childhood scenes before writing."
MENTAL / PSYCHISM,62,"Write about your teenage years, what shaped your identity most?","Choose one song from that time and listen before writing. If the music takes your attention and you feel the need to spend more time listening, singing, dancing… Please enjoy your time."
MENTAL / PSYCHISM,63,Describe some turning points in your life that changed your direction. Sometimes things seem to happen so fast. Sometimes we have the impression that the time to reach a goal is very very long. Can you see what may be the difference between them?,Re-live that moment in memory and note the body sensation that still lives with it.
MENTAL / PSYCHISM,64,What is the main theme of your life story so far?,Write one title as if your life were a book.
MENTAL / PSYCHISM,65,"Who were your most influential teachers, guides, or mirrors?",Write their names and one sentence of gratitude for each.
MENTAL / PSYCHISM,66,Recall one painful or challenging event and the wisdom it eventually revealed.,"Place your hand on your heart, breathe, and try to feel present for yourself. Then say “thank you” for the lesson."
MENTAL / PSYCHISM,67,Describe the person you are today compared with five years ago.,"Write a short story in third person of those five years, as they were, but as if you are writing the story of someone else."
MENTAL / PSYCHISM,68,"Choose one dream that is quite clear in your memory these days, it may be the most recent, or someone that impresses you more than others. Explore its symbols. Explore the sensations that were presented there. First describe it, try not to interpret it, then write your reading of that same dream.",Draw images from the dream. like if they were pictures.
MENTAL / PSYCHISM,69,"Make a list of your favorite books, movies, or music that accompany you in changing or transformative periods. Can you guess why?",Pick one item and read or listen briefly to reconnect with its feeling.
MENTAL / PSYCHISM,70,Write a story or myth about yourself using imagination instead of facts.,Invent one magical element that you will use in the story like something that adds power to you.
MENTAL / PSYCHISM,71,Describe the process of creation for you.,"Create something with your hands today—drawing, painting, collage, or sculpture."
MENTAL / PSYCHISM,72,What's the time for you? How do you feel it moving? Where are you mostly in time?,Outline the chapters of your life like a timeline. Then mix them. Which is the story now?
INTEGRATION MILESTONES,73,"Looking back, what has changed most since you began this journaling practice?","Re-read your first, 13th, 25th, 37th, 49th, and 61st entries before writing today."
INTEGRATION MILESTONES,74,"Reviewing your ceremonies and this integrative period, which themes or lessons keep repeating for you?",Circle 3 recurring words or concepts from your past entries.
INTEGRATION MILESTONES,75,What parts of yourself have you welcomed home?,Write your name and use each letter as the first letter of a characteristic that you feel to embrace or that is part of you.
INTEGRATION MILESTONES,76,"What practices (movement, breath, journaling, service, ritual, creation, natural connection) work best for you? In which way they helped in the integration process?","Write the intention to maintain it for a long period, until it becomes a habit."
INTEGRATION MILESTONES,77,There is usually more than one thing to improve at the same time. Many different things are occurring at the same time. Focusing on them is a matter of attention and commitment. What commitments do you want to carry forward into daily life?,Write “I commit to…”. Then read this every morning.
